city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Oujda-Angad,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Oujda-Angad,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Oujda-Angad,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Tétouan,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Tétouan,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Tétouan,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Tétouan,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Tétouan,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Tétouan,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Tétouan,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Safi,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Safi,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Safi,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Safi,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Safi,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Safi,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Safi,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Taourirt,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Taourirt,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Taourirt,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Taourirt,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Taourirt,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Taourirt,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Taourirt,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Temara,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1
Temara,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1
Temara,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3
Temara,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3
Temara,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3
Temara,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3
Temara,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3
Laâyoune,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Laâyoune,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Laâyoune,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
Laâyoune,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Laâyoune,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Laâyoune,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Laâyoune,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
El Jadid,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
El Jadid,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
El Jadid,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
El Jadid,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
El Jadid,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
El Jadid,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
El Jadid,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Ait Melloul,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Ait Melloul,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Ait Melloul,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
Ait Melloul,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Ait Melloul,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Ait Melloul,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Ait Melloul,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Béni Mellal,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Béni Mellal,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Béni Mellal,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
Béni Mellal,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Béni Mellal,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Béni Mellal,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Béni Mellal,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Bouskoura,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Bouskoura,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Bouskoura,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
Bouskoura,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Bouskoura,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Bouskoura,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Bouskoura,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Tiznit,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Tiznit,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Tiznit,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
