city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temperature_category
Kenitra,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Kenitra,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Oujda-Angad,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Oujda-Angad,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Oujda-Angad,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Oujda-Angad,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Oujda-Angad,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Oujda-Angad,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Oujda-Angad,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Tétouan,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Tétouan,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Tétouan,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Tétouan,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Tétouan,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Tétouan,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Tétouan,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Safi,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Safi,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Safi,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Safi,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Safi,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Safi,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Safi,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Taourirt,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Taourirt,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Taourirt,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Taourirt,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Taourirt,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Taourirt,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Taourirt,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Temara,35.75,-5.8125,2026-09-14,22.5,22.5,0.0,0,25.4,60.1,1,Normale
Temara,35.75,-5.8125,2026-09-15,21.1,21.1,0.0,0,16.9,38.5,1,Normale
Temara,35.75,-5.8125,2026-09-16,18.2,18.2,0.0,0,21.3,48.6,3,Fraîche
Temara,35.75,-5.8125,2026-09-17,18.8,18.8,0.0,0,15.0,34.9,3,Fraîche
Temara,35.75,-5.8125,2026-09-18,18.7,18.7,0.0,0,21.4,49.3,3,Fraîche
Temara,35.75,-5.8125,2026-09-19,21.7,21.7,0.0,0,34.2,64.8,3,Normale
Temara,35.75,-5.8125,2026-09-20,22.9,22.9,0.0,3,35.1,65.5,3,Normale
Laâyoune,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Laâyoune,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Laâyoune,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Laâyoune,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
Laâyoune,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Laâyoune,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Laâyoune,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
El Jadid,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
El Jadid,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
El Jadid,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
El Jadid,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
El Jadid,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
El Jadid,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
El Jadid,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Ait Melloul,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Ait Melloul,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Ait Melloul,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Ait Melloul,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
Ait Melloul,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Ait Melloul,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Ait Melloul,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Béni Mellal,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Béni Mellal,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Béni Mellal,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Béni Mellal,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
Béni Mellal,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Béni Mellal,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Béni Mellal,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Bouskoura,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Bouskoura,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Bouskoura,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Bouskoura,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
Bouskoura,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Bouskoura,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Bouskoura,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Tiznit,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Tiznit,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Tiznit,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Tiznit,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
