time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
2026-09-14,40.3,26.9,0.0,0,24.3,49.0,2
2026-09-15,37.1,22.8,0.0,3,24.5,49.3,2
2026-09-16,31.6,18.8,0.0,0,21.9,43.9,1
2026-09-17,28.0,17.2,0.0,3,17.7,36.7,2
2026-09-18,30.6,16.9,0.0,3,18.6,36.7,45
2026-09-19,35.3,17.3,0.6,5,13.8,28.8,80
2026-09-20,38.8,22.2,0.0,5,20.8,47.5,3
