time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
2026-09-14,39.8,23.7,0.0,0,23.3,49.3,2
2026-09-15,35.6,21.8,0.0,0,23.8,49.7,2
2026-09-16,29.7,18.8,0.0,0,20.4,41.4,2
2026-09-17,27.1,17.1,0.0,3,16.6,35.3,3
2026-09-18,30.0,15.7,0.0,5,18.2,41.0,45
2026-09-19,34.4,16.8,0.0,15,18.7,35.6,3
2026-09-20,37.2,21.7,0.3,15,24.3,47.5,80
