time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
2026-09-14,40.4,25.1,0.0,5,20.3,42.8,3
2026-09-15,35.8,24.9,0.3,5,19.1,40.3,3
2026-09-16,30.9,21.4,0.0,0,24.3,49.3,1
2026-09-17,27.2,20.5,0.0,3,18.4,39.6,2
2026-09-18,27.3,19.5,0.0,6,19.4,41.8,3
2026-09-19,33.8,19.8,0.0,5,16.2,34.9,3
2026-09-20,38.5,23.8,0.0,0,21.6,45.4,1
