time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
2026-09-14,39.6,26.6,0.0,3,18.9,39.2,3
2026-09-15,34.5,25.7,0.3,3,15.2,33.8,3
2026-09-16,32.4,22.3,0.0,0,19.0,40.0,0
2026-09-17,26.9,20.4,0.0,0,17.3,40.3,2
2026-09-18,26.4,19.6,0.0,5,17.3,38.2,2
2026-09-19,37.9,20.2,0.0,5,16.3,40.0,3
2026-09-20,40.2,25.3,0.0,0,16.9,38.5,1
