lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
35.5625,-5.375,2026-09-20,26.7,22.9,0.0,5,26.5,62.3,3
32.3125,-9.25,2026-09-14,35.3,24.7,0.0,0,19.5,36.4,3
32.3125,-9.25,2026-09-15,33.5,23.0,0.0,0,25.1,43.9,2
32.3125,-9.25,2026-09-16,26.7,20.4,0.0,0,28.5,50.0,2
32.3125,-9.25,2026-09-17,24.7,18.8,0.0,0,19.6,34.2,2
32.3125,-9.25,2026-09-18,25.8,18.3,0.0,3,23.7,43.6,2
32.3125,-9.25,2026-09-19,31.2,19.1,0.0,3,18.8,34.6,3
32.3125,-9.25,2026-09-20,37.2,22.5,0.0,0,20.6,38.5,1
34.4375,-2.875,2026-09-14,31.8,19.2,0.0,0,25.2,41.0,1
34.4375,-2.875,2026-09-15,32.1,18.9,0.0,0,23.6,38.2,3
34.4375,-2.875,2026-09-16,34.0,18.4,0.0,0,23.4,37.4,1
34.4375,-2.875,2026-09-17,29.9,20.0,0.0,11,26.2,46.4,3
34.4375,-2.875,2026-09-18,29.0,18.5,0.0,13,26.8,48.6,45
34.4375,-2.875,2026-09-19,31.7,18.7,0.0,6,17.7,30.6,3
34.4375,-2.875,2026-09-20,31.7,19.9,0.0,5,21.8,35.3,45
33.9375,-6.875,2026-09-14,33.4,23.4,0.0,0,11.0,30.2,0
33.9375,-6.875,2026-09-15,27.7,21.0,0.0,0,12.9,34.9,1
33.9375,-6.875,2026-09-16,25.6,20.3,0.0,0,15.9,41.0,2
33.9375,-6.875,2026-09-17,25.7,18.5,0.0,0,12.4,33.1,3
33.9375,-6.875,2026-09-18,26.4,16.4,0.0,0,14.8,38.9,45
33.9375,-6.875,2026-09-19,25.8,17.5,0.0,3,12.6,27.0,2
33.9375,-6.875,2026-09-20,29.3,20.7,0.0,3,13.8,27.7,0
27.170473,-13.229401,2026-09-14,40.3,25.7,0.0,4,27.0,50.4,0
27.170473,-13.229401,2026-09-15,40.2,25.6,0.0,0,26.3,51.8,0
27.170473,-13.229401,2026-09-16,34.9,21.6,0.0,0,27.0,52.2,0
