time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
2026-09-14,39.3,28.6,0.0,5,17.3,43.9,3
2026-09-15,34.2,26.5,0.2,0,10.5,30.2,3
2026-09-16,36.5,23.6,0.0,0,16.3,47.9,0
2026-09-17,28.0,20.3,0.0,3,13.8,36.0,2
2026-09-18,26.3,19.7,0.0,5,13.5,36.7,2
2026-09-19,37.7,20.2,0.0,3,16.3,40.0,3
2026-09-20,40.1,25.2,0.0,0,16.9,38.5,1
